step,num_features,features,mae,rmse
11,66,"['v_3', 'v_12', 'v_pca_2', 'v_0', 'v_pca_0', 'notRepairedDamage', 'kilometer_log', 'v_pca_1', 'v_10', 'km_age', 'kilometer', 'km_bin', 'power', 'notRepairedDamage_missing', 'car_age_log', 'car_age_days', 'age_segment', 'power_log', 'v_1', 'v_6', 'brand_price_std', 'power_bin', 'v_9', 'v_pca_4', 'bodyType', 'v_11', 'brand_regYear_bin', 'regYear_from_now', 'v_pca_3', 'brand_price_ratio', 'v_8', 'brand_price_count', 'brand_model_freq', 'gearbox_missing', 'v_14', 'brand_power_bin_freq', 'brand_price_mean', 'regYear', 'km_per_year', 'gearbox', 'v_2', 'brand_km_bin', 'brand_price_median', 'fuelType', 'power_age', 'v_5', 'v_13', 'model_freq', 'v_7', 'brand_bodyType', 'v_pca_8', 'v_4', 'fuelType_missing', 'v_pca_5', 'brand_age_segment_freq', 'v_pca_7', 'model', 'v_pca_6', 'v_pca_9', 'name', 'regionCode', 'creatMonth', 'brand', 'regMonth', 'creatDay', 'regSeason']",546.9909395143088,1221.547244908454
12,65,"['v_3', 'v_12', 'v_pca_2', 'v_0', 'power_bin', 'v_pca_0', 'notRepairedDamage', 'v_10', 'v_pca_1', 'power_log', 'km_age', 'kilometer', 'regYear_from_now', 'kilometer_log', 'notRepairedDamage_missing', 'power', 'km_bin', 'age_segment', 'car_age_log', 'car_age_days', 'v_6', 'regYear', 'brand_price_count', 'brand_price_mean', 'bodyType', 'brand_price_std', 'v_1', 'v_11', 'gearbox_missing', 'v_14', 'brand', 'v_8', 'model_freq', 'v_pca_4', 'brand_power_bin_freq', 'v_4', 'brand_model_freq', 'v_2', 'v_13', 'v_5', 'v_9', 'brand_bodyType', 'km_per_year', 'gearbox', 'brand_price_ratio', 'fuelType_missing', 'power_age', 'fuelType', 'brand_km_bin', 'v_pca_3', 'brand_price_median', 'brand_age_segment_freq', 'v_pca_8', 'v_pca_5', 'brand_regYear_bin', 'v_pca_6', 'v_7', 'name', 'v_pca_7', 'v_pca_9', 'model', 'creatMonth', 'regionCode', 'creatDay', 'regSeason']",552.56668076751,1217.7923620860101
13,64,"['v_3', 'v_12', 'v_pca_2', 'v_0', 'kilometer_log', 'v_pca_0', 'notRepairedDamage', 'v_10', 'v_pca_1', 'kilometer', 'power', 'km_age', 'power_log', 'notRepairedDamage_missing', 'brand_price_std', 'car_age_log', 'car_age_days', 'age_segment', 'regYear', 'v_1', 'v_6', 'regYear_from_now', 'v_9', 'bodyType', 'v_pca_4', 'v_11', 'gearbox_missing', 'brand_model_freq', 'brand_price_count', 'brand_regYear_bin', 'v_8', 'v_pca_3', 'gearbox', 'brand_power_bin_freq', 'power_bin', 'v_14', 'km_per_year', 'v_5', 'power_age', 'brand_bodyType', 'fuelType_missing', 'brand_km_bin', 'model_freq', 'v_2', 'v_13', 'brand_price_ratio', 'fuelType', 'brand_price_median', 'v_7', 'v_pca_5', 'v_pca_8', 'v_4', 'brand_age_segment_freq', 'v_pca_6', 'v_pca_7', 'creatMonth', 'v_pca_9', 'name', 'regionCode', 'model', 'brand_price_mean', 'brand', 'creatDay', 'regSeason']",545.9654489806683,1208.940819692772
14,63,"['v_3', 'v_12', 'v_pca_2', 'v_0', 'power_bin', 'v_pca_0', 'notRepairedDamage', 'v_pca_1', 'v_10', 'km_age', 'regYear_from_now', 'power_log', 'age_segment', 'power', 'notRepairedDamage_missing', 'regYear', 'car_age_log', 'kilometer', 'kilometer_log', 'car_age_days', 'brand_price_count', 'v_6', 'bodyType', 'v_1', 'v_11', 'v_8', 'brand_price_std', 'gearbox_missing', 'brand', 'v_14', 'model_freq', 'v_pca_4', 'v_4', 'brand_price_ratio', 'gearbox', 'brand_power_bin_freq', 'v_13', 'v_9', 'km_per_year', 'brand_model_freq', 'v_2', 'v_5', 'brand_price_median', 'brand_bodyType', 'power_age', 'brand_km_bin', 'fuelType', 'v_pca_3', 'brand_regYear_bin', 'v_pca_8', 'v_7', 'v_pca_5', 'brand_price_mean', 'brand_age_segment_freq', 'fuelType_missing', 'creatMonth', 'v_pca_6', 'model', 'v_pca_9', 'v_pca_7', 'name', 'regionCode', 'creatDay']",546.4256279710962,1207.7617536022171
15,62,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_0', 'notRepairedDamage', 'v_10', 'kilometer', 'v_pca_1', 'kilometer_log', 'power', 'power_log', 'km_age', 'car_age_log', 'notRepairedDamage_missing', 'car_age_days', 'v_6', 'brand_price_std', 'v_1', 'v_9', 'v_pca_4', 'regYear', 'v_11', 'age_segment', 'brand_model_freq', 'v_8', 'v_pca_3', 'regYear_from_now', 'brand_regYear_bin', 'brand_price_count', 'brand_power_bin_freq', 'brand_price_mean', 'v_14', 'gearbox_missing', 'gearbox', 'brand_price_ratio', 'km_per_year', 'model_freq', 'brand_bodyType', 'fuelType_missing', 'v_2', 'v_5', 'power_age', 'brand_price_median', 'fuelType', 'brand_km_bin', 'bodyType', 'brand_age_segment_freq', 'v_13', 'v_pca_5', 'v_pca_8', 'v_pca_7', 'v_4', 'v_7', 'v_pca_6', 'regionCode', 'name', 'model', 'v_pca_9', 'power_bin', 'creatMonth', 'brand']",547.2569831277566,1212.0425013749737
16,61,"['v_3', 'v_12', 'v_0', 'power_bin', 'v_pca_2', 'v_pca_0', 'notRepairedDamage', 'v_10', 'v_pca_1', 'km_age', 'power_log', 'kilometer', 'notRepairedDamage_missing', 'power', 'car_age_log', 'regYear_from_now', 'regYear', 'age_segment', 'brand_price_std', 'car_age_days', 'brand_price_count', 'v_6', 'v_1', 'kilometer_log', 'brand', 'v_14', 'model_freq', 'v_11', 'v_8', 'brand_price_ratio', 'bodyType', 'v_pca_4', 'brand_power_bin_freq', 'v_4', 'gearbox_missing', 'v_2', 'v_5', 'v_13', 'gearbox', 'fuelType_missing', 'fuelType', 'brand_bodyType', 'power_age', 'brand_model_freq', 'v_9', 'km_per_year', 'brand_price_mean', 'brand_km_bin', 'v_pca_3', 'brand_price_median', 'v_pca_8', 'v_pca_5', 'brand_regYear_bin', 'v_7', 'brand_age_segment_freq', 'creatMonth', 'v_pca_6', 'name', 'v_pca_9', 'v_pca_7', 'model']",543.8824830356092,1202.5945025176616
17,60,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_0', 'kilometer_log', 'notRepairedDamage', 'v_10', 'v_pca_1', 'kilometer', 'power', 'km_age', 'power_log', 'notRepairedDamage_missing', 'car_age_log', 'car_age_days', 'v_6', 'regYear_from_now', 'v_1', 'brand_price_std', 'v_pca_4', 'v_9', 'age_segment', 'brand_price_count', 'v_11', 'brand_model_freq', 'brand_regYear_bin', 'regYear', 'v_8', 'v_pca_3', 'brand_power_bin_freq', 'gearbox', 'gearbox_missing', 'brand_price_mean', 'brand_price_ratio', 'bodyType', 'v_2', 'v_14', 'power_age', 'km_per_year', 'fuelType_missing', 'model_freq', 'brand_bodyType', 'v_5', 'fuelType', 'v_13', 'brand_price_median', 'brand_km_bin', 'brand_age_segment_freq', 'v_4', 'v_pca_5', 'v_pca_8', 'v_7', 'power_bin', 'v_pca_7', 'model', 'v_pca_6', 'name', 'v_pca_9', 'creatMonth']",548.5402664405739,1211.0461854360337
18,59,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'power_bin', 'v_pca_0', 'notRepairedDamage', 'v_10', 'v_pca_1', 'regYear', 'km_age', 'power_log', 'kilometer', 'power', 'notRepairedDamage_missing', 'kilometer_log', 'car_age_log', 'regYear_from_now', 'car_age_days', 'v_6', 'v_1', 'brand_price_std', 'brand_price_count', 'age_segment', 'v_11', 'v_14', 'model_freq', 'v_8', 'v_pca_4', 'brand_power_bin_freq', 'brand_price_ratio', 'gearbox_missing', 'v_4', 'v_13', 'gearbox', 'v_9', 'v_2', 'bodyType', 'brand_model_freq', 'brand_bodyType', 'fuelType', 'km_per_year', 'brand_km_bin', 'v_5', 'brand_price_median', 'power_age', 'brand_price_mean', 'brand_age_segment_freq', 'v_pca_3', 'brand_regYear_bin', 'v_pca_5', 'v_pca_8', 'v_7', 'fuelType_missing', 'v_pca_9', 'v_pca_6', 'model', 'v_pca_7', 'name']",554.6741384599618,1214.0696879140673
19,58,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_0', 'notRepairedDamage', 'v_10', 'kilometer', 'v_pca_1', 'kilometer_log', 'km_age', 'power_log', 'power', 'notRepairedDamage_missing', 'car_age_log', 'car_age_days', 'regYear_from_now', 'v_6', 'v_1', 'age_segment', 'v_9', 'brand_price_count', 'v_pca_4', 'v_11', 'brand_price_std', 'power_bin', 'brand_regYear_bin', 'brand_model_freq', 'brand_price_mean', 'v_8', 'gearbox_missing', 'bodyType', 'brand_power_bin_freq', 'v_pca_3', 'v_14', 'model_freq', 'gearbox', 'power_age', 'v_2', 'regYear', 'km_per_year', 'v_5', 'brand_price_ratio', 'fuelType', 'v_13', 'brand_km_bin', 'brand_price_median', 'brand_bodyType', 'brand_age_segment_freq', 'fuelType_missing', 'v_pca_5', 'v_pca_8', 'v_4', 'v_pca_6', 'v_7', 'v_pca_7', 'v_pca_9', 'model']",545.7661869222848,1207.147912132673
20,57,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_0', 'notRepairedDamage', 'v_10', 'v_pca_1', 'km_age', 'power', 'power_log', 'regYear_from_now', 'kilometer', 'age_segment', 'regYear', 'notRepairedDamage_missing', 'car_age_log', 'power_bin', 'car_age_days', 'kilometer_log', 'brand_price_std', 'v_6', 'v_1', 'brand_price_count', 'v_11', 'model_freq', 'v_8', 'v_14', 'v_pca_4', 'v_4', 'brand_power_bin_freq', 'v_13', 'gearbox_missing', 'bodyType', 'brand_bodyType', 'brand_model_freq', 'v_2', 'brand_price_ratio', 'gearbox', 'brand_km_bin', 'km_per_year', 'v_9', 'v_5', 'power_age', 'v_pca_3', 'brand_price_mean', 'brand_regYear_bin', 'brand_price_median', 'fuelType', 'brand_age_segment_freq', 'v_pca_5', 'fuelType_missing', 'v_pca_8', 'v_7', 'v_pca_7', 'model', 'v_pca_6']",555.1705084096558,1212.6180996792789
21,56,"['v_3', 'v_12', 'v_0', 'power_bin', 'v_pca_0', 'v_10', 'notRepairedDamage', 'kilometer_log', 'v_pca_2', 'kilometer', 'power_log', 'v_pca_1', 'km_age', 'power', 'notRepairedDamage_missing', 'car_age_log', 'car_age_days', 'v_6', 'age_segment', 'v_1', 'brand_price_count', 'v_pca_4', 'v_9', 'brand_price_std', 'v_11', 'brand_model_freq', 'regYear', 'regYear_from_now', 'v_pca_3', 'brand_power_bin_freq', 'brand_regYear_bin', 'gearbox_missing', 'bodyType', 'v_8', 'v_2', 'v_14', 'gearbox', 'brand_price_ratio', 'power_age', 'v_5', 'km_per_year', 'brand_km_bin', 'model_freq', 'v_13', 'fuelType', 'brand_price_mean', 'brand_bodyType', 'v_pca_8', 'fuelType_missing', 'v_pca_5', 'v_7', 'v_4', 'brand_price_median', 'brand_age_segment_freq', 'v_pca_7', 'v_pca_6']",551.171716360076,1207.10288065306
22,55,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_0', 'notRepairedDamage', 'v_10', 'kilometer', 'km_age', 'v_pca_1', 'power_log', 'regYear', 'kilometer_log', 'notRepairedDamage_missing', 'car_age_log', 'brand_price_std', 'regYear_from_now', 'power', 'car_age_days', 'v_1', 'v_6', 'age_segment', 'v_11', 'brand_price_count', 'v_14', 'gearbox_missing', 'model_freq', 'v_pca_4', 'brand_price_ratio', 'brand_power_bin_freq', 'v_8', 'bodyType', 'brand_bodyType', 'v_4', 'gearbox', 'v_2', 'v_13', 'fuelType', 'v_9', 'brand_model_freq', 'v_5', 'km_per_year', 'brand_price_median', 'brand_regYear_bin', 'v_pca_3', 'brand_km_bin', 'fuelType_missing', 'brand_age_segment_freq', 'power_age', 'v_pca_5', 'power_bin', 'v_7', 'v_pca_8', 'v_pca_6', 'v_pca_7']",550.9273439343693,1216.6975440306817
23,54,"['v_3', 'v_12', 'v_0', 'power_bin', 'v_pca_2', 'v_pca_0', 'notRepairedDamage', 'v_10', 'kilometer_log', 'v_pca_1', 'km_age', 'age_segment', 'power_log', 'kilometer', 'car_age_log', 'notRepairedDamage_missing', 'car_age_days', 'v_6', 'power', 'brand_price_count', 'v_1', 'v_9', 'v_pca_4', 'regYear_from_now', 'brand_price_std', 'v_11', 'brand_model_freq', 'regYear', 'v_pca_3', 'gearbox_missing', 'v_8', 'brand_regYear_bin', 'brand_power_bin_freq', 'v_14', 'gearbox', 'bodyType', 'brand_price_ratio', 'v_2', 'km_per_year', 'brand_km_bin', 'v_5', 'power_age', 'model_freq', 'fuelType', 'brand_price_median', 'v_13', 'v_pca_8', 'fuelType_missing', 'brand_bodyType', 'v_pca_5', 'v_4', 'v_7', 'brand_age_segment_freq', 'v_pca_7']",564.2040284468806,1222.4215261167783
24,53,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_0', 'kilometer', 'notRepairedDamage', 'v_10', 'power', 'v_pca_1', 'km_age', 'power_log', 'kilometer_log', 'regYear_from_now', 'notRepairedDamage_missing', 'car_age_log', 'brand_price_std', 'car_age_days', 'v_6', 'v_1', 'regYear', 'v_11', 'brand_price_count', 'bodyType', 'v_pca_4', 'age_segment', 'brand_power_bin_freq', 'v_14', 'v_8', 'brand_bodyType', 'gearbox_missing', 'brand_price_ratio', 'v_4', 'model_freq', 'v_2', 'v_9', 'brand_model_freq', 'km_per_year', 'v_13', 'gearbox', 'brand_age_segment_freq', 'fuelType', 'brand_regYear_bin', 'v_5', 'power_bin', 'brand_price_median', 'v_pca_3', 'power_age', 'fuelType_missing', 'v_pca_5', 'brand_km_bin', 'v_pca_8', 'v_7']",557.1655049014353,1215.6872151172147
25,52,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_pca_0', 'v_10', 'notRepairedDamage', 'power_log', 'km_age', 'v_pca_1', 'kilometer_log', 'age_segment', 'kilometer', 'power_bin', 'power', 'notRepairedDamage_missing', 'car_age_log', 'regYear', 'car_age_days', 'v_6', 'v_1', 'brand_price_count', 'v_9', 'v_11', 'brand_model_freq', 'brand_regYear_bin', 'brand_price_std', 'regYear_from_now', 'v_pca_4', 'v_14', 'brand_price_ratio', 'v_pca_3', 'brand_power_bin_freq', 'v_8', 'gearbox_missing', 'v_2', 'brand_km_bin', 'v_5', 'gearbox', 'bodyType', 'fuelType_missing', 'power_age', 'brand_price_median', 'km_per_year', 'fuelType', 'model_freq', 'v_13', 'v_pca_8', 'v_pca_5', 'brand_bodyType', 'v_7', 'v_4']",553.0098110448951,1206.7091054912164
26,51,"['v_3', 'v_12', 'v_0', 'v_pca_2', 'v_10', 'v_pca_0', 'notRepairedDamage', 'kilometer', 'kilometer_log', 'km_age', 'v_pca_1', 'power_log', 'notRepairedDamage_missing', 'power', 'car_age_log', 'regYear_from_now', 'car_age_days', 'brand_price_std', 'v_6', 'v_1', 'age_segment', 'regYear', 'v_11', 'brand_price_count', 'v_14', 'v_pca_4', 'bodyType', 'brand_price_ratio', 'v_8', 'brand_bodyType', 'model_freq', 'brand_power_bin_freq', 'v_4', 'gearbox_missing', 'v_13', 'gearbox', 'v_2', 'fuelType', 'brand_price_median', 'power_age', 'km_per_year', 'v_9', 'fuelType_missing', 'brand_km_bin', 'v_5', 'brand_model_freq', 'brand_regYear_bin', 'v_pca_3', 'v_7', 'v_pca_8', 'v_pca_5']",557.2502959632641,1222.2242851428405
